country,country_code,year,co2_emissions_mt,co2_per_kwh
ARM,ARM,2007,0.38,428.2
ARM,ARM,2008,0.39,423.78
ARM,ARM,2009,0.41,418.6
ARM,ARM,2010,0.42,415.41
ARM,ARM,2011,0.44,412.26
ARM,ARM,2012,0.45,402.15
ARM,ARM,2013,0.47,402.16
ARM,ARM,2014,0.49,396.7
ARM,ARM,2015,0.5,391.04
ARM,ARM,2016,0.53,387.36
ARM,ARM,2017,0.54,381.69
ARM,ARM,2018,0.56,375.85
ARM,ARM,2019,0.58,369.81
ARM,ARM,2020,0.6,364.87
ARM,ARM,2021,0.63,362.73
ARM,ARM,2022,0.64,357.32
ARM,ARM,2023,0.67,352.12
ARM,ARM,2024,0.69,345.26
ASM,ASM,2000,0.12,626.96
ASM,ASM,2001,0.12,619.54
ASM,ASM,2002,0.12,613.02
ASM,ASM,2003,0.12,607.87
ASM,ASM,2004,0.12,600.27
ASM,ASM,2005,0.13,595.28
ASM,ASM,2006,0.12,589.48
ASM,ASM,2007,0.12,585.04
ASM,ASM,2008,0.13,580.47
ASM,ASM,2009,0.13,572.28
ASM,ASM,2010,0.13,566.41
ASM,ASM,2011,0.13,559.55
ASM,ASM,2012,0.13,552.4
ASM,ASM,2013,0.13,546.17
ASM,ASM,2014,0.14,542.94
ASM,ASM,2015,0.13,537.55
ASM,ASM,2016,0.13,528.07
ASM,ASM,2017,0.14,524.15
ASM,ASM,2018,0.14,515.86
ASM,ASM,2019,0.14,514.25
ASM,ASM,2020,0.14,506.45
ASM,ASM,2021,0.14,500.5
ASM,ASM,2022,0.14,493.83
ASM,ASM,2023,0.14,488.9
ASM,ASM,2024,0.14,481.37
ATG,ATG,2000,0.09,624.62
ATG,ATG,2001,0.09,622.86
ATG,ATG,2002,0.1,615.01
ATG,ATG,2003,0.1,607.81
ATG,ATG,2004,0.1,598.08
ATG,ATG,2005,0.11,590.18
ATG,ATG,2006,0.11,585.56
ATG,ATG,2007,0.11,573.22
ATG,ATG,2008,0.11,567.77
ATG,ATG,2009,0.12,564.26
ATG,ATG,2010,0.12,552.72
ATG,ATG,2011,0.13,545.05
ATG,ATG,2012,0.13,535.2
ATG,ATG,2013,0.13,530.38
ATG,ATG,2014,0.14,522.51
ATG,ATG,2015,0.14,517.61
ATG,ATG,2016,0.15,508.42
ATG,ATG,2017,0.15,499.18
ATG,ATG,2018,0.15,490.51
ATG,ATG,2019,0.15,481.63
ATG,ATG,2020,0.16,474.13
ATG,ATG,2021,0.16,469.36
ATG,ATG,2022,0.17,464.58
ATG,ATG,2023,0.17,455.86
ATG,ATG,2024,0.18,446.26
AUS,AUS,2000,78.02,661.95
AUS,AUS,2001,79.56,659.57
AUS,AUS,2002,80.91,646.96
AUS,AUS,2003,82.47,635.05
AUS,AUS,2004,84.24,629.57
AUS,AUS,2005,86.31,623.44
AUS,AUS,2006,89.11,611.96
AUS,AUS,2007,89.83,604.91
AUS,AUS,2008,91.28,594.09
AUS,AUS,2009,93.74,590.39
AUS,AUS,2010,95.24,576.57
AUS,AUS,2011,96.68,570.09
AUS,AUS,2012,99.12,564.55
AUS,AUS,2013,100.05,548.09
AUS,AUS,2014,103.2,543.56
AUS,AUS,2015,105.29,536.48
AUS,AUS,2016,106.48,527.12
AUS,AUS,2017,108.77,518.75
AUS,AUS,2018,112.61,513.94
AUS,AUS,2019,113.99,503.91
AUS,AUS,2020,114.5,496.3
AUS,AUS,2021,117.44,488.04
AUS,AUS,2022,118.77,479.5
AUS,AUS,2023,120.36,472.65
AUS,AUS,2024,122.44,459.74
AUT,AUT,2000,8.01,256.95
AUT,AUT,2001,8.08,247.31
AUT,AUT,2002,8.09,242.05
AUT,AUT,2003,8.35,237.49
AUT,AUT,2004,8.33,231.61
AUT,AUT,2005,8.37,225.24
AUT,AUT,2006,8.52,221.72
AUT,AUT,2007,8.61,215.2
AUT,AUT,2008,8.57,206.1
AUT,AUT,2009,8.49,200.4
AUT,AUT,2010,8.57,193.63
AUT,AUT,2011,8.76,190.41
AUT,AUT,2012,8.8,185.19
AUT,AUT,2013,8.96,180.75
AUT,AUT,2014,8.7,172.19
AUT,AUT,2015,8.78,165.34
AUT,AUT,2016,8.79,160.76
AUT,AUT,2017,8.96,158.73
AUT,AUT,2018,8.55,145.89
AUT,AUT,2019,8.83,145.88
AUT,AUT,2020,8.57,136.97
AUT,AUT,2021,8.57,132.37
AUT,AUT,2022,8.47,127.75
AUT,AUT,2023,8.38,120.39
AUT,AUT,2024,8.51,117.59
AZE,AZE,2000,0.33,458.12
AZE,AZE,2001,0.34,455.4
AZE,AZE,2002,0.35,448.88
AZE,AZE,2003,0.37,443.32
AZE,AZE,2004,0.38,437.31
AZE,AZE,2005,0.39,434.84
AZE,AZE,2006,0.41,431.18
AZE,AZE,2007,0.41,426.21
AZE,AZE,2008,0.43,422.52
AZE,AZE,2009,0.44,415.61
AZE,AZE,2010,0.45,408.83
AZE,AZE,2011,0.47,405.28
AZE,AZE,2012,0.49,402.2
AZE,AZE,2013,0.5,396.61
AZE,AZE,2014,0.52,395.37
AZE,AZE,2015,0.53,387.74
AZE,AZE,2016,0.54,382.31
AZE,AZE,2017,0.57,379.85
AZE,AZE,2018,0.57,369.86
AZE,AZE,2019,0.59,366.47
AZE,AZE,2020,0.62,365.46
AZE,AZE,2021,0.63,358.02
AZE,AZE,2022,0.65,353.07
AZE,AZE,2023,0.67,348.93
AZE,AZE,2024,0.7,350.31
BDI,BDI,2000,0.05,211.29
BDI,BDI,2001,0.05,207.99
BDI,BDI,2002,0.05,200.56
BDI,BDI,2003,0.05,192.15
BDI,BDI,2004,0.05,183.62
BDI,BDI,2005,0.05,182.82
BDI,BDI,2006,0.05,173.13
BDI,BDI,2007,0.05,164.94
BDI,BDI,2008,0.05,164.6
BDI,BDI,2009,0.05,156.98
BDI,BDI,2010,0.05,150.74
BDI,BDI,2011,0.05,142.35
BDI,BDI,2012,0.05,140.39
BDI,BDI,2013,0.05,133.47
BDI,BDI,2014,0.05,126.01
BDI,BDI,2015,0.04,118.13
BDI,BDI,2016,0.04,110.25
BDI,BDI,2017,0.04,106.37
BDI,BDI,2018,0.04,103.76
BDI,BDI,2019,0.04,98.6
BDI,BDI,2020,0.04,90.17
BDI,BDI,2021,0.04,82.82
BDI,BDI,2022,0.04,79.07
BDI,BDI,2023,0.03,69.76
BDI,BDI,2024,0.03,67.58
BEL,BEL,2000,13.7,318.15
BEL,BEL,2001,13.6,310.71
BEL,BEL,2002,13.75,302.43
BEL,BEL,2003,13.73,294.0
BEL,BEL,2004,14.11,290.47
BEL,BEL,2005,13.75,279.46
BEL,BEL,2006,14.14,275.31
BEL,BEL,2007,13.99,266.11
BEL,BEL,2008,14.2,263.21
BEL,BEL,2009,13.81,248.34
BEL,BEL,2010,13.88,246.12
BEL,BEL,2011,14.09,240.09
BEL,BEL,2012,13.99,232.42
BEL,BEL,2013,14.03,226.38
BEL,BEL,2014,13.97,218.48
BEL,BEL,2015,13.81,211.54
BEL,BEL,2016,14.07,207.57
BEL,BEL,2017,13.76,196.96
BEL,BEL,2018,13.57,190.57
BEL,BEL,2019,13.46,183.05
BEL,BEL,2020,13.44,177.94
BEL,BEL,2021,13.24,170.48
BEL,BEL,2022,12.96,160.08
BEL,BEL,2023,12.96,156.49
BEL,BEL,2024,12.74,149.78
BEN,BEN,2000,0.44,510.73
BEN,BEN,2001,0.45,502.18
BEN,BEN,2002,0.45,493.78
BEN,BEN,2003,0.45,485.61
BEN,BEN,2004,0.46,481.1
BEN,BEN,2005,0.46,472.88
BEN,BEN,2006,0.46,462.36
BEN,BEN,2007,0.46,453.12
BEN,BEN,2008,0.47,447.62
BEN,BEN,2009,0.48,441.02
BEN,BEN,2010,0.47,434.86
BEN,BEN,2011,0.47,422.52
BEN,BEN,2012,0.47,416.55
BEN,BEN,2013,0.48,408.3
BEN,BEN,2014,0.48,399.68
BEN,BEN,2015,0.48,391.34
BEN,BEN,2016,0.48,384.1
BEN,BEN,2017,0.48,378.14
BEN,BEN,2018,0.49,370.51
BEN,BEN,2019,0.49,362.66
BEN,BEN,2020,0.48,351.43
BEN,BEN,2021,0.49,347.83
BEN,BEN,2022,0.48,337.66
BEN,BEN,2023,0.48,328.71
BEN,BEN,2024,0.48,320.68
BFA,BFA,2000,0.6,520.59
BFA,BFA,2001,0.59,503.96
BFA,BFA,2002,0.59,487.03
BFA,BFA,2003,0.58,471.25
BFA,BFA,2004,0.57,449.56
BFA,BFA,2005,0.56,431.53
BFA,BFA,2006,0.56,417.37
BFA,BFA,2007,0.55,401.53
BFA,BFA,2008,0.53,384.5
BFA,BFA,2009,0.52,365.53
BFA,BFA,2010,0.51,349.51
BFA,BFA,2011,0.49,331.68
BFA,BFA,2012,0.48,315.24
BFA,BFA,2013,0.46,298.97
BFA,BFA,2014,0.45,283.33
BFA,BFA,2015,0.43,262.94
BFA,BFA,2016,0.41,247.5
BFA,BFA,2017,0.39,229.91
BFA,BFA,2018,0.37,210.19
BFA,BFA,2019,0.34,192.36
BFA,BFA,2020,0.32,178.29
BFA,BFA,2021,0.3,162.75
BFA,BFA,2022,0.28,147.18
BFA,BFA,2023,0.24,122.62
BFA,BFA,2024,0.22,110.24
BGD,BGD,2000,15.77,443.11
BGD,BGD,2001,16.47,437.76
BGD,BGD,2002,16.93,435.95
BGD,BGD,2003,17.7,435.64
BGD,BGD,2004,17.96,430.77
BGD,BGD,2005,18.71,430.83
BGD,BGD,2006,19.22,427.76
BGD,BGD,2007,20.13,426.86
BGD,BGD,2008,20.9,428.89
BGD,BGD,2009,21.23,421.28
BGD,BGD,2010,22.42,422.86
BGD,BGD,2011,22.88,419.51
BGD,BGD,2012,23.51,417.54
BGD,BGD,2013,24.68,416.89
BGD,BGD,2014,25.15,412.97
BGD,BGD,2015,26.16,410.1
BGD,BGD,2016,27.41,411.43
BGD,BGD,2017,28.28,410.69
BGD,BGD,2018,29.33,411.21
BGD,BGD,2019,29.94,403.07
BGD,BGD,2020,31.26,405.11
BGD,BGD,2021,32.21,400.79
BGD,BGD,2022,33.17,398.68
BGD,BGD,2023,34.72,399.19
BGD,BGD,2024,35.61,398.05
BGR,BGR,2000,9.43,402.87
BGR,BGR,2001,9.6,403.32
BGR,BGR,2002,9.84,402.17
BGR,BGR,2003,9.94,390.34
BGR,BGR,2004,10.03,387.19
BGR,BGR,2005,10.24,384.25
BGR,BGR,2006,10.33,380.05
BGR,BGR,2007,10.46,375.71
BGR,BGR,2008,10.5,366.72
BGR,BGR,2009,10.73,362.99
BGR,BGR,2010,10.81,358.12
BGR,BGR,2011,11.06,356.81
BGR,BGR,2012,11.22,350.39
BGR,BGR,2013,11.24,342.98
BGR,BGR,2014,11.29,339.66
BGR,BGR,2015,11.63,335.19
BGR,BGR,2016,11.73,330.4
BGR,BGR,2017,11.82,322.66
BGR,BGR,2018,12.11,320.95
BGR,BGR,2019,12.24,317.88
BGR,BGR,2020,12.19,308.78
BGR,BGR,2021,12.4,305.77
BGR,BGR,2022,12.47,295.64
BGR,BGR,2023,12.81,298.35
BGR,BGR,2024,12.79,290.76
BHR,BHR,2000,3.88,490.12
BHR,BHR,2001,4.07,491.24
BHR,BHR,2002,4.2,490.33
BHR,BHR,2003,4.29,486.71
BHR,BHR,2004,4.45,485.88
BHR,BHR,2005,4.62,488.72
BHR,BHR,2006,4.77,488.22
BHR,BHR,2007,4.93,487.95
BHR,BHR,2008,5.1,485.55
BHR,BHR,2009,5.23,484.81
BHR,BHR,2010,5.42,483.97
BHR,BHR,2011,5.62,486.87
BHR,BHR,2012,5.81,484.41
BHR,BHR,2013,5.98,484.08
BHR,BHR,2014,6.2,482.96
BHR,BHR,2015,6.41,483.67
BHR,BHR,2016,6.61,483.2
BHR,BHR,2017,6.88,481.89
BHR,BHR,2018,7.08,482.66
BHR,BHR,2019,7.31,477.26
BHR,BHR,2020,7.52,478.16
BHR,BHR,2021,7.74,477.8
BHR,BHR,2022,7.93,473.32
BHR,BHR,2023,8.31,475.93
BHR,BHR,2024,8.61,476.35
BHS,BHS,2000,0.44,629.94
BHS,BHS,2001,0.46,629.21
BHS,BHS,2002,0.48,621.92
BHS,BHS,2003,0.49,617.85
BHS,BHS,2004,0.51,615.4
BHS,BHS,2005,0.53,611.98
BHS,BHS,2006,0.55,605.9
BHS,BHS,2007,0.57,598.93
BHS,BHS,2008,0.59,597.13
BHS,BHS,2009,0.61,594.28
BHS,BHS,2010,0.63,586.03
BHS,BHS,2011,0.66,583.48
BHS,BHS,2012,0.69,582.03
BHS,BHS,2013,0.71,574.63
BHS,BHS,2014,0.74,571.26
BHS,BHS,2015,0.76,567.53
BHS,BHS,2016,0.8,564.62
BHS,BHS,2017,0.81,556.65
BHS,BHS,2018,0.85,553.35
BHS,BHS,2019,0.89,550.52
BHS,BHS,2020,0.92,544.72
BHS,BHS,2021,0.94,535.82
BHS,BHS,2022,0.97,532.85
BHS,BHS,2023,1.03,532.3
BHS,BHS,2024,1.06,528.03
BIH,BIH,2000,4.83,529.81
BIH,BIH,2001,4.94,529.16
BIH,BIH,2002,5.08,528.97
BIH,BIH,2003,5.11,520.85
BIH,BIH,2004,5.29,521.1
BIH,BIH,2005,5.38,522.3
BIH,BIH,2006,5.55,520.79
BIH,BIH,2007,5.61,515.14
BIH,BIH,2008,5.83,516.16
BIH,BIH,2009,5.91,517.56
BIH,BIH,2010,6.04,512.07
BIH,BIH,2011,6.18,510.5
BIH,BIH,2012,6.33,511.02
BIH,BIH,2013,6.57,510.21
BIH,BIH,2014,6.59,504.32
BIH,BIH,2015,6.74,500.76
BIH,BIH,2016,6.95,504.64
BIH,BIH,2017,7.09,498.61
BIH,BIH,2018,7.25,496.76
BIH,BIH,2019,7.41,496.48
BIH,BIH,2020,7.53,493.02
BIH,BIH,2021,7.67,489.64
BIH,BIH,2022,7.84,487.71
BIH,BIH,2023,8.06,486.17
BIH,BIH,2024,8.24,485.18
BLR,BLR,2000,8.05,465.57
BLR,BLR,2001,8.31,463.57
BLR,BLR,2002,8.58,460.19
BLR,BLR,2003,8.85,461.5
BLR,BLR,2004,9.21,462.85
BLR,BLR,2005,9.54,464.26
BLR,BLR,2006,9.87,460.6
BLR,BLR,2007,10.15,456.52
BLR,BLR,2008,10.55,461.79
BLR,BLR,2009,10.91,461.11
BLR,BLR,2010,11.1,454.51
BLR,BLR,2011,11.48,453.36
BLR,BLR,2012,11.89,455.51
BLR,BLR,2013,12.53,457.88
BLR,BLR,2014,12.74,456.83
BLR,BLR,2015,13.3,457.9
BLR,BLR,2016,13.74,456.56
BLR,BLR,2017,14.4,454.25
BLR,BLR,2018,14.46,449.19
BLR,BLR,2019,15.11,449.58
BLR,BLR,2020,15.79,454.42
BLR,BLR,2021,16.29,450.95
BLR,BLR,2022,16.76,452.21
BLR,BLR,2023,17.32,451.84
BLR,BLR,2024,18.16,454.52
BLZ,BLZ,2000,0.08,288.9
BLZ,BLZ,2001,0.08,282.75
BLZ,BLZ,2002,0.08,272.42
BLZ,BLZ,2003,0.08,265.35
BLZ,BLZ,2004,0.08,260.91
BLZ,BLZ,2005,0.08,249.89
BLZ,BLZ,2006,0.08,242.01
BLZ,BLZ,2007,0.08,233.1
BLZ,BLZ,2008,0.08,225.8
BLZ,BLZ,2009,0.08,218.78
BLZ,BLZ,2010,0.08,208.35
BLZ,BLZ,2011,0.08,204.6
BLZ,BLZ,2012,0.08,193.66
BLZ,BLZ,2013,0.08,189.53
BLZ,BLZ,2014,0.08,180.98
BLZ,BLZ,2015,0.08,169.34
BLZ,BLZ,2016,0.08,165.6
BLZ,BLZ,2017,0.08,158.81
BLZ,BLZ,2018,0.07,147.7
BLZ,BLZ,2019,0.07,138.08
BLZ,BLZ,2020,0.07,132.54
BLZ,BLZ,2021,0.07,129.18
BLZ,BLZ,2022,0.07,118.14
BLZ,BLZ,2023,0.06,108.43
BLZ,BLZ,2024,0.06,102.48
BMU,BMU,2000,0.16,583.12
BMU,BMU,2001,0.17,577.48
BMU,BMU,2002,0.17,571.88
BMU,BMU,2003,0.18,567.5
BMU,BMU,2004,0.18,557.73
BMU,BMU,2005,0.19,555.35
BMU,BMU,2006,0.19,547.2
BMU,BMU,2007,0.2,543.05
BMU,BMU,2008,0.2,536.01
BMU,BMU,2009,0.21,531.27
BMU,BMU,2010,0.22,527.16
BMU,BMU,2011,0.22,519.13
BMU,BMU,2012,0.23,512.2
BMU,BMU,2013,0.23,507.44
BMU,BMU,2014,0.24,503.49
BMU,BMU,2015,0.24,494.74
BMU,BMU,2016,0.26,492.2
BMU,BMU,2017,0.26,483.75
BMU,BMU,2018,0.27,480.12
BMU,BMU,2019,0.28,474.57
BMU,BMU,2020,0.28,466.77
BMU,BMU,2021,0.29,464.27
BMU,BMU,2022,0.29,453.84
BMU,BMU,2023,0.31,455.39
BMU,BMU,2024,0.31,447.52
BOL,BOL,2000,1.77,403.31
BOL,BOL,2001,1.83,398.86
BOL,BOL,2002,1.9,398.96
BOL,BOL,2003,1.94,393.13
BOL,BOL,2004,2.0,391.19
BOL,BOL,2005,2.08,386.36
BOL,BOL,2006,2.14,384.18
BOL,BOL,2007,2.22,382.82
BOL,BOL,2008,2.24,376.21
BOL,BOL,2009,2.35,377.49
BOL,BOL,2010,2.4,372.41
BOL,BOL,2011,2.47,369.51
BOL,BOL,2012,2.53,360.74
BOL,BOL,2013,2.65,363.65
BOL,BOL,2014,2.71,358.06
BOL,BOL,2015,2.77,353.85
BOL,BOL,2016,2.87,353.12
BOL,BOL,2017,2.97,349.69
BOL,BOL,2018,3.02,346.39
BOL,BOL,2019,3.1,338.7
BOL,BOL,2020,3.18,338.38
BOL,BOL,2021,3.29,334.19
BOL,BOL,2022,3.39,333.66
BOL,BOL,2023,3.45,326.94
BOL,BOL,2024,3.65,330.62
BRA,BRA,2000,90.36,261.94
BRA,BRA,2001,90.81,256.84
BRA,BRA,2002,91.58,251.0
BRA,BRA,2003,92.07,245.05
BRA,BRA,2004,93.54,239.61
BRA,BRA,2005,92.14,228.67
BRA,BRA,2006,92.3,223.51
BRA,BRA,2007,93.46,216.92
BRA,BRA,2008,94.05,211.42
BRA,BRA,2009,92.26,203.37
BRA,BRA,2010,93.05,198.41
BRA,BRA,2011,91.31,186.03
BRA,BRA,2012,93.67,186.35
BRA,BRA,2013,91.3,174.01
BRA,BRA,2014,89.18,166.56
BRA,BRA,2015,91.23,165.48
BRA,BRA,2016,91.94,160.99
BRA,BRA,2017,89.57,151.2
BRA,BRA,2018,85.79,141.09
BRA,BRA,2019,85.38,135.78
BRA,BRA,2020,85.89,131.11
BRA,BRA,2021,83.05,123.11
BRA,BRA,2022,78.91,112.83
BRA,BRA,2023,80.07,111.67
BRA,BRA,2024,76.22,103.41
BRB,BRB,2000,0.18,568.91
BRB,BRB,2001,0.19,561.78
BRB,BRB,2002,0.19,553.62
BRB,BRB,2003,0.2,546.64
BRB,BRB,2004,0.21,542.21
BRB,BRB,2005,0.22,535.3
BRB,BRB,2006,0.23,531.1
BRB,BRB,2007,0.24,523.6
BRB,BRB,2008,0.24,518.24
BRB,BRB,2009,0.25,511.84
BRB,BRB,2010,0.26,502.06
BRB,BRB,2011,0.27,495.56
BRB,BRB,2012,0.27,489.27
BRB,BRB,2013,0.28,481.36
BRB,BRB,2014,0.3,474.26
BRB,BRB,2015,0.31,471.32
BRB,BRB,2016,0.32,466.05
BRB,BRB,2017,0.33,457.99
BRB,BRB,2018,0.34,450.12
BRB,BRB,2019,0.35,443.51
BRB,BRB,2020,0.37,442.77
BRB,BRB,2021,0.38,431.92
BRB,BRB,2022,0.39,429.19
BRB,BRB,2023,0.4,418.86
BRB,BRB,2024,0.41,414.6
BRN,BRN,2000,1.36,489.97
BRN,BRN,2001,1.39,490.5
BRN,BRN,2002,1.42,488.09
BRN,BRN,2003,1.44,487.05
BRN,BRN,2004,1.46,486.52
BRN,BRN,2005,1.49,486.07
BRN,BRN,2006,1.5,485.24
BRN,BRN,2007,1.56,489.1
BRN,BRN,2008,1.58,485.62
BRN,BRN,2009,1.62,486.09
BRN,BRN,2010,1.64,485.09
BRN,BRN,2011,1.68,485.12
BRN,BRN,2012,1.7,487.89
BRN,BRN,2013,1.74,482.04
BRN,BRN,2014,1.79,485.69
BRN,BRN,2015,1.81,482.57
BRN,BRN,2016,1.84,481.8
BRN,BRN,2017,1.88,482.43
BRN,BRN,2018,1.94,482.95
BRN,BRN,2019,1.95,483.59
BRN,BRN,2020,2.01,483.21
BRN,BRN,2021,2.06,480.93
BRN,BRN,2022,2.1,483.23
BRN,BRN,2023,2.13,481.72
BRN,BRN,2024,2.17,481.58
BTN,BTN,2000,0.14,43.9
BTN,BTN,2001,0.15,44.37
BTN,BTN,2002,0.16,46.73
BTN,BTN,2003,0.16,44.14
BTN,BTN,2004,0.16,42.61
BTN,BTN,2005,0.16,41.4
BTN,BTN,2006,0.16,39.88
BTN,BTN,2007,0.18,42.46
BTN,BTN,2008,0.16,36.41
