country,country_code,year,coal_pct,oil_pct,gas_pct,nuclear_pct,hydro_pct,wind_pct,solar_pct,other_renewables_pct,total_generation_twh,region,battery_storage_mwh,pumped_hydro_mwh
AFG,AFG,2014,2.44,0.67,0.85,0.0,85.32,0.05,0.6,10.07,4.48,Asia,0.92,9.36
AFG,AFG,2015,2.37,0.88,0.9,0.0,84.68,0.0,0.85,10.32,4.73,Asia,1.2,9.88
AFG,AFG,2016,1.72,0.89,0.77,0.0,85.3,0.0,0.94,10.38,4.93,Asia,1.71,9.87
AFG,AFG,2017,1.95,0.96,0.54,0.0,85.02,0.19,0.53,10.81,5.13,Asia,2.27,10.2
AFG,AFG,2018,1.53,1.22,0.77,0.0,84.97,0.06,0.68,10.77,5.38,Asia,3.11,10.21
AFG,AFG,2019,1.64,1.11,0.32,0.0,84.91,0.13,0.91,10.98,5.6,Asia,4.25,10.82
AFG,AFG,2020,1.59,0.78,0.27,0.0,85.33,0.14,0.86,11.03,5.89,Asia,5.51,11.06
AFG,AFG,2021,1.49,0.89,0.31,0.0,84.84,0.0,0.94,11.53,6.13,Asia,7.4,11.25
AFG,AFG,2022,1.36,0.67,0.13,0.0,84.75,0.47,1.08,11.54,6.43,Asia,10.33,11.5
AFG,AFG,2023,0.95,1.0,0.0,0.0,84.6,0.12,1.26,12.07,6.74,Asia,13.31,11.61
AFG,AFG,2024,1.26,1.12,0.0,0.0,84.95,0.0,0.8,11.87,7.02,Asia,18.21,12.02
AGO,AGO,2000,1.66,1.39,45.52,0.0,49.73,0.05,0.02,1.63,5.35,Africa,0.0,7.85
AGO,AGO,2001,1.16,1.42,45.74,0.0,49.92,0.0,0.13,1.63,5.48,Africa,0.0,8.11
AGO,AGO,2002,1.22,1.33,45.53,0.0,49.99,0.0,0.43,1.5,5.64,Africa,0.0,8.23
AGO,AGO,2003,0.81,1.24,46.09,0.0,50.49,0.0,0.35,1.02,5.76,Africa,0.0,8.68
AGO,AGO,2004,0.78,1.57,45.76,0.0,49.63,0.0,0.47,1.79,5.89,Africa,0.0,9.07
AGO,AGO,2005,1.11,1.23,45.93,0.0,49.92,0.0,0.19,1.62,6.12,Africa,0.0,9.29
AGO,AGO,2006,0.94,1.12,46.1,0.0,49.75,0.24,0.32,1.53,6.32,Africa,0.0,9.75
AGO,AGO,2007,0.85,0.92,45.77,0.0,50.19,0.12,0.46,1.69,6.44,Africa,0.0,10.1
AGO,AGO,2008,0.91,0.94,45.95,0.0,50.42,0.02,0.29,1.47,6.57,Africa,0.0,10.62
AGO,AGO,2009,0.72,1.3,45.12,0.0,50.16,0.0,0.84,1.86,6.76,Africa,0.0,10.76
AGO,AGO,2010,0.63,1.52,45.34,0.0,49.81,0.12,0.84,1.74,6.94,Africa,0.0,11.39
AGO,AGO,2011,0.73,1.33,45.27,0.0,49.57,0.24,0.84,2.02,7.19,Africa,0.5,11.8
AGO,AGO,2012,0.84,1.23,45.19,0.0,49.8,0.0,1.06,1.88,7.32,Africa,0.69,11.66
AGO,AGO,2013,0.47,1.33,45.53,0.0,50.16,0.08,0.91,1.52,7.51,Africa,0.93,12.42
AGO,AGO,2014,0.62,1.32,45.64,0.0,49.73,0.03,0.85,1.81,7.7,Africa,1.26,12.57
AGO,AGO,2015,0.81,0.91,45.19,0.0,49.44,0.24,1.52,1.89,7.92,Africa,1.65,13.02
AGO,AGO,2016,0.29,1.12,45.16,0.0,50.47,0.04,1.1,1.82,8.12,Africa,2.24,13.37
AGO,AGO,2017,0.21,1.35,45.55,0.0,49.93,0.0,1.68,1.28,8.31,Africa,3.01,13.95
AGO,AGO,2018,0.47,1.0,45.14,0.0,50.26,0.0,1.44,1.69,8.6,Africa,4.36,14.1
AGO,AGO,2019,0.0,1.29,45.13,0.0,50.01,0.0,1.6,1.97,8.69,Africa,5.61,15.04
AGO,AGO,2020,0.18,0.7,45.7,0.0,50.19,0.0,1.5,1.73,8.95,Africa,7.4,14.64
AGO,AGO,2021,0.0,1.21,45.25,0.0,49.71,0.0,1.93,1.9,9.27,Africa,9.96,15.53
AGO,AGO,2022,0.02,1.17,45.27,0.0,50.12,0.0,1.79,1.63,9.46,Africa,13.42,15.06
AGO,AGO,2023,0.24,1.16,44.9,0.0,49.79,0.08,1.99,1.84,9.75,Africa,18.61,15.69
AGO,AGO,2024,0.54,1.15,44.69,0.0,49.82,0.0,1.94,1.86,9.98,Africa,24.66,16.54
ALB,ALB,2000,1.37,0.29,0.86,0.0,96.73,0.51,0.24,0.0,3.17,Europe,0.0,3.52
ALB,ALB,2001,1.42,0.3,1.17,0.0,96.69,0.07,0.35,0.0,3.28,Europe,0.0,3.92
ALB,ALB,2002,1.62,0.74,0.86,0.0,96.08,0.03,0.67,0.0,3.38,Europe,0.0,4.31
ALB,ALB,2003,1.01,0.2,1.04,0.0,96.88,0.05,0.62,0.2,3.51,Europe,0.0,4.7
ALB,ALB,2004,0.84,0.28,0.64,0.0,97.14,0.0,1.1,0.0,3.69,Europe,0.0,5.12
ALB,ALB,2005,1.31,0.15,0.75,0.0,96.61,0.09,0.85,0.24,3.81,Europe,0.0,5.48
ALB,ALB,2006,1.15,0.2,0.91,0.0,96.78,0.0,0.96,0.0,3.98,Europe,0.0,6.03
ALB,ALB,2007,1.31,0.36,0.31,0.0,96.76,0.1,1.16,0.0,4.15,Europe,0.0,6.3
ALB,ALB,2008,1.14,0.3,0.97,0.0,96.57,0.0,1.02,0.0,4.27,Europe,0.0,6.84
ALB,ALB,2009,1.11,0.3,0.68,0.0,96.51,0.02,1.27,0.11,4.47,Europe,0.0,7.19
ALB,ALB,2010,1.17,0.15,0.47,0.0,96.25,0.1,1.6,0.26,4.62,Europe,0.0,7.67
ALB,ALB,2011,0.71,0.06,0.66,0.0,96.93,0.0,1.64,0.0,4.82,Europe,0.65,7.92
ALB,ALB,2012,0.69,0.5,0.52,0.0,96.24,0.18,1.77,0.1,5.0,Europe,0.82,8.42
ALB,ALB,2013,0.72,0.0,0.54,0.0,96.66,0.14,1.91,0.03,5.2,Europe,1.17,8.75
ALB,ALB,2014,0.84,0.0,0.13,0.0,96.93,0.13,1.89,0.08,5.38,Europe,1.6,9.39
ALB,ALB,2015,0.55,0.42,0.13,0.0,97.11,0.0,1.79,0.0,5.66,Europe,2.09,9.77
ALB,ALB,2016,0.34,0.2,0.21,0.0,96.62,0.15,2.36,0.12,5.85,Europe,2.82,9.86
ALB,ALB,2017,0.62,0.2,0.21,0.0,96.45,0.23,2.24,0.05,6.05,Europe,3.75,10.36
ALB,ALB,2018,0.33,0.12,0.48,0.0,96.68,0.15,2.24,0.0,6.38,Europe,5.23,11.01
ALB,ALB,2019,0.47,0.0,0.39,0.0,96.17,0.34,2.49,0.14,6.56,Europe,6.89,11.19
ALB,ALB,2020,0.58,0.09,0.13,0.0,96.45,0.07,2.68,0.0,6.79,Europe,9.49,11.89
ALB,ALB,2021,0.26,0.0,0.15,0.0,97.01,0.0,2.58,0.0,7.12,Europe,13.1,12.11
ALB,ALB,2022,0.43,0.27,0.0,0.0,96.21,0.23,2.72,0.14,7.43,Europe,17.54,12.37
ALB,ALB,2023,0.13,0.3,0.0,0.0,96.47,0.0,2.84,0.26,7.68,Europe,24.27,13.14
ALB,ALB,2024,0.18,0.45,0.07,0.0,95.78,0.51,2.8,0.21,8.01,Europe,31.99,13.06
AND,AND,2000,5.94,1.47,3.74,0.0,84.41,0.24,0.46,3.74,0.3,Europe,0.0,0.16
AND,AND,2001,5.43,1.47,3.77,0.0,85.37,0.0,0.22,3.74,0.31,Europe,0.0,0.18
AND,AND,2002,5.05,1.2,3.56,0.0,84.96,0.22,1.27,3.74,0.32,Europe,0.0,0.2
AND,AND,2003,5.01,1.01,3.38,0.0,85.33,0.29,1.34,3.64,0.33,Europe,0.0,0.22
AND,AND,2004,4.77,1.1,3.48,0.0,84.78,0.0,1.98,3.89,0.33,Europe,0.0,0.24
AND,AND,2005,4.36,0.84,2.7,0.0,86.02,0.0,2.07,4.01,0.34,Europe,0.0,0.26
AND,AND,2006,4.18,1.15,2.82,0.0,85.35,0.0,2.62,3.88,0.35,Europe,0.0,0.27
AND,AND,2007,4.43,0.98,2.69,0.0,84.84,0.0,3.2,3.86,0.35,Europe,0.0,0.3
AND,AND,2008,3.51,0.85,2.5,0.0,85.64,0.0,3.18,4.32,0.36,Europe,0.0,0.32
AND,AND,2009,3.37,1.01,2.68,0.0,85.21,0.0,3.65,4.08,0.36,Europe,0.0,0.32
AND,AND,2010,3.74,0.84,2.28,0.0,84.59,0.0,4.29,4.26,0.37,Europe,0.0,0.35
AND,AND,2011,2.9,0.48,2.29,0.0,85.02,0.0,4.64,4.67,0.38,Europe,0.03,0.36
AND,AND,2012,3.04,0.72,2.0,0.0,85.11,0.0,4.98,4.15,0.39,Europe,0.05,0.39
AND,AND,2013,2.62,0.61,2.03,0.0,85.22,0.0,5.39,4.13,0.4,Europe,0.06,0.39
AND,AND,2014,2.33,0.46,1.73,0.0,84.84,0.19,5.97,4.48,0.41,Europe,0.08,0.43
AND,AND,2015,2.4,0.29,1.8,0.0,84.68,0.0,6.31,4.52,0.42,Europe,0.11,0.44
AND,AND,2016,1.6,0.23,1.07,0.0,85.27,0.08,7.14,4.61,0.42,Europe,0.15,0.47
AND,AND,2017,1.83,0.0,0.98,0.0,85.69,0.0,7.01,4.49,0.43,Europe,0.2,0.47
AND,AND,2018,1.33,0.28,1.03,0.0,84.81,0.0,7.73,4.82,0.44,Europe,0.27,0.5
AND,AND,2019,1.11,0.18,0.9,0.0,85.02,0.0,8.05,4.74,0.45,Europe,0.36,0.51
AND,AND,2020,1.31,0.28,0.81,0.0,84.68,0.0,8.18,4.74,0.46,Europe,0.5,0.54
AND,AND,2021,0.99,0.2,0.45,0.0,85.0,0.0,8.56,4.8,0.47,Europe,0.67,0.56
AND,AND,2022,0.63,0.35,0.15,0.0,84.81,0.0,9.35,4.71,0.48,Europe,0.89,0.55
AND,AND,2023,0.03,0.25,0.04,0.0,85.14,0.1,9.12,5.32,0.49,Europe,1.21,0.6
AND,AND,2024,0.0,0.37,0.35,0.0,84.88,0.0,9.65,4.75,0.5,Europe,1.63,0.6
ARE,ARE,2000,2.13,0.77,91.08,5.03,0.0,0.1,0.16,0.73,82.67,Asia,0.0,4.66
ARE,ARE,2001,1.98,0.29,91.63,5.03,0.04,0.17,0.41,0.45,85.55,Asia,0.0,5.35
ARE,ARE,2002,1.5,0.64,91.69,4.76,0.2,0.14,0.54,0.53,86.65,Asia,0.0,6.17
ARE,ARE,2003,2.2,0.48,90.44,5.04,0.06,0.07,0.93,0.78,88.79,Asia,0.0,6.62
ARE,ARE,2004,1.73,0.56,91.05,5.02,0.0,0.03,0.93,0.68,92.03,Asia,0.0,7.38
ARE,ARE,2005,1.77,0.89,90.37,4.88,0.22,0.0,0.87,1.0,94.82,Asia,0.0,8.01
ARE,ARE,2006,1.65,0.27,90.78,5.05,0.0,0.0,1.35,0.9,97.65,Asia,0.0,8.55
ARE,ARE,2007,1.43,0.24,91.34,4.99,0.0,0.0,1.42,0.58,100.47,Asia,0.0,9.23
ARE,ARE,2008,1.43,0.31,90.39,5.29,0.0,0.2,1.8,0.58,102.66,Asia,0.0,9.96
ARE,ARE,2009,1.59,0.29,90.53,5.13,0.0,0.39,1.34,0.73,106.07,Asia,0.0,10.81
ARE,ARE,2010,1.17,0.21,90.84,5.18,0.23,0.0,1.55,0.82,108.99,Asia,0.0,11.48
ARE,ARE,2011,1.21,0.35,90.39,4.62,0.0,0.12,2.12,1.19,111.3,Asia,8.69,12.16
ARE,ARE,2012,0.88,0.06,91.37,4.56,0.0,0.0,2.51,0.62,115.72,Asia,12.0,12.69
ARE,ARE,2013,0.92,0.3,89.69,5.22,0.58,0.26,2.28,0.75,118.13,Asia,16.18,13.41
ARE,ARE,2014,0.9,0.28,90.71,4.9,0.19,0.11,2.44,0.47,121.49,Asia,20.94,14.03
ARE,ARE,2015,0.77,0.07,90.39,5.11,0.35,0.0,2.52,0.79,124.57,Asia,28.58,14.7
ARE,ARE,2016,0.84,0.35,90.15,5.13,0.0,0.03,2.8,0.7,128.63,Asia,40.08,15.36
ARE,ARE,2017,0.64,0.0,90.34,4.82,0.0,0.03,3.07,1.1,133.49,Asia,52.5,15.67
ARE,ARE,2018,1.09,0.27,89.73,5.01,0.0,0.15,3.11,0.64,135.07,Asia,73.34,16.98
ARE,ARE,2019,0.39,0.0,90.44,4.76,0.0,0.0,3.52,0.89,139.74,Asia,95.67,17.25
ARE,ARE,2020,0.22,0.1,90.54,4.85,0.09,0.0,3.27,0.93,143.09,Asia,130.26,18.2
ARE,ARE,2021,0.14,0.0,90.06,5.22,0.0,0.0,3.62,0.96,146.73,Asia,174.05,18.64
ARE,ARE,2022,0.1,0.36,89.54,5.17,0.0,0.04,3.74,1.05,152.9,Asia,240.57,19.28
ARE,ARE,2023,0.01,0.0,90.0,4.98,0.0,0.0,3.85,1.16,155.58,Asia,313.62,19.48
ARE,ARE,2024,0.1,0.38,89.86,4.57,0.0,0.17,3.76,1.16,160.0,Asia,449.12,20.47
ARG,ARG,2000,9.28,6.98,55.56,6.12,17.96,1.97,0.0,2.13,73.87,South America,0.0,88.41
ARG,ARG,2001,9.2,6.95,54.88,5.94,17.68,2.57,0.41,2.37,76.61,South America,0.0,97.45
ARG,ARG,2002,9.06,7.18,54.44,6.06,18.09,2.66,0.27,2.24,79.1,South America,0.0,107.73
ARG,ARG,2003,8.71,6.72,54.07,5.86,17.87,3.46,0.7,2.61,81.52,South America,0.0,118.99
ARG,ARG,2004,8.02,6.79,54.51,6.16,17.88,3.61,0.68,2.35,84.38,South America,0.0,126.35
ARG,ARG,2005,7.5,6.25,54.82,5.68,18.12,3.97,1.46,2.2,87.23,South America,0.0,134.07
ARG,ARG,2006,7.37,6.64,53.63,5.91,17.98,4.91,1.32,2.24,89.67,South America,0.0,143.79
ARG,ARG,2007,7.2,6.52,54.05,5.8,18.19,4.6,1.5,2.14,91.06,South America,0.0,149.88
ARG,ARG,2008,6.99,6.24,53.52,6.08,18.15,5.4,1.3,2.32,94.9,South America,0.0,161.22
ARG,ARG,2009,6.15,6.51,53.52,6.12,18.06,5.71,1.49,2.44,97.65,South America,0.0,165.38
ARG,ARG,2010,6.33,6.17,53.44,5.9,18.08,5.73,2.08,2.27,101.19,South America,0.0,179.69
ARG,ARG,2011,6.22,5.87,52.45,6.19,18.09,6.55,2.11,2.52,104.44,South America,6.45,190.99
ARG,ARG,2012,5.81,6.13,52.54,5.97,18.14,6.97,1.75,2.69,107.21,South America,8.77,191.71
ARG,ARG,2013,4.91,5.7,52.62,6.22,17.62,7.4,2.5,3.03,110.57,South America,11.88,209.0
ARG,ARG,2014,5.03,5.87,51.79,5.84,18.01,7.96,2.49,3.01,114.15,South America,15.53,217.32
ARG,ARG,2015,4.69,5.84,52.54,5.83,18.0,8.15,2.36,2.59,117.29,South America,21.91,221.22
ARG,ARG,2016,4.38,5.76,51.39,6.18,18.19,8.73,2.72,2.65,121.44,South America,30.03,227.38
ARG,ARG,2017,3.89,5.64,51.79,5.79,18.02,9.01,3.05,2.81,124.77,South America,40.33,232.34
ARG,ARG,2018,4.07,5.3,50.9,5.81,18.3,9.47,3.27,2.88,129.84,South America,53.17,239.61
ARG,ARG,2019,3.42,5.52,51.21,6.09,17.8,10.14,3.32,2.5,131.97,South America,71.94,251.23
ARG,ARG,2020,3.23,5.64,50.95,6.02,17.66,10.09,3.42,2.99,137.6,South America,93.47,271.77
ARG,ARG,2021,2.83,5.38,51.06,5.72,18.33,10.84,3.07,2.77,139.72,South America,136.42,276.97
ARG,ARG,2022,2.68,5.37,50.19,5.98,17.94,11.11,3.39,3.34,146.72,South America,180.87,294.38
ARG,ARG,2023,2.19,4.72,50.34,5.89,17.99,11.59,4.25,3.03,150.07,South America,243.66,290.36
ARG,ARG,2024,2.07,4.82,49.95,6.49,18.13,12.08,3.82,2.64,154.28,South America,324.59,306.56
ARM,ARM,2000,14.42,22.05,36.07,0.0,19.9,0.47,1.21,5.88,0.62,Europe,0.0,1.32
ARM,ARM,2001,14.2,22.04,36.12,0.0,20.08,0.37,1.3,5.89,0.66,Europe,0.0,1.47
ARM,ARM,2002,14.17,21.89,36.06,0.0,20.15,0.45,1.33,5.95,0.69,Europe,0.0,1.53
ARM,ARM,2003,13.47,22.0,35.63,0.0,19.94,1.07,2.1,5.79,0.73,Europe,0.0,1.62
ARM,ARM,2004,13.13,21.58,35.22,0.0,20.14,1.1,2.71,6.12,0.76,Europe,0.0,1.67
ARM,ARM,2005,12.27,21.77,35.38,0.0,20.0,1.25,2.93,6.4,0.79,Europe,0.0,1.74
ARM,ARM,2006,12.22,21.62,34.75,0.0,20.01,1.44,3.15,6.81,0.84,Europe,0.0,1.84
ARM,ARM,2007,11.75,21.22,34.66,0.0,20.05,1.91,3.63,6.78,0.88,Europe,0.0,1.98
ARM,ARM,2008,11.19,21.43,34.33,0.0,20.4,1.7,3.79,7.16,0.92,Europe,0.0,2.04
ARM,ARM,2009,10.83,21.11,34.31,0.0,19.81,2.49,4.33,7.12,0.97,Europe,0.0,2.1
ARM,ARM,2010,10.35,21.32,34.09,0.0,19.83,2.12,4.77,7.52,1.02,Europe,0.0,2.2
ARM,ARM,2011,10.32,21.24,33.58,0.0,19.87,2.4,5.01,7.58,1.06,Europe,0.11,2.21
ARM,ARM,2012,9.53,20.82,33.38,0.0,19.75,3.14,5.29,8.09,1.12,Europe,0.15,2.32
ARM,ARM,2013,9.36,21.11,33.2,0.0,19.78,2.66,5.9,7.99,1.17,Europe,0.2,2.4
ARM,ARM,2014,9.28,20.61,32.91,0.0,19.94,3.07,6.26,7.93,1.23,Europe,0.28,2.5
ARM,ARM,2015,8.75,20.51,32.72,0.0,19.74,3.2,6.72,8.36,1.28,Europe,0.35,2.54
ARM,ARM,2016,8.22,20.81,32.38,0.0,20.11,3.22,6.87,8.39,1.36,Europe,0.49,2.67
ARM,ARM,2017,7.88,20.74,31.81,0.0,19.73,3.45,7.69,8.7,1.42,Europe,0.66,2.7
ARM,ARM,2018,7.5,20.66,31.32,0.0,19.99,3.71,7.66,9.16,1.5,Europe,0.9,2.74
ARM,ARM,2019,6.9,20.26,31.64,0.0,19.94,4.14,8.22,8.9,1.57,Europe,1.22,2.91
ARM,ARM,2020,6.55,20.22,31.19,0.0,19.85,3.99,8.92,9.28,1.64,Europe,1.65,2.91
ARM,ARM,2021,6.27,20.42,30.93,0.0,19.92,4.43,8.77,9.26,1.73,Europe,2.22,3.09
ARM,ARM,2022,6.12,20.13,30.44,0.0,19.88,4.71,9.15,9.57,1.8,Europe,3.01,3.25
ARM,ARM,2023,5.08,20.45,30.58,0.0,19.58,4.63,9.99,9.69,1.91,Europe,4.02,3.2
ARM,ARM,2024,4.95,20.13,29.81,0.0,20.21,4.98,9.93,9.99,2.0,Europe,5.5,3.24
ASM,ASM,2000,12.06,66.98,8.37,0.0,0.05,0.06,0.51,11.97,0.19,Oceania,0.0,0.01
ASM,ASM,2001,11.24,67.02,8.07,0.0,0.02,0.0,1.27,12.38,0.19,Oceania,0.0,0.01
ASM,ASM,2002,11.02,66.77,7.39,0.0,0.0,0.16,1.67,12.99,0.19,Oceania,0.0,0.01
ASM,ASM,2003,10.23,67.17,7.0,0.0,0.0,0.13,2.39,13.08,0.19,Oceania,0.0,0.01
ASM,ASM,2004,9.7,66.85,6.71,0.0,0.0,0.23,3.28,13.23,0.2,Oceania,0.0,0.01
ASM,ASM,2005,9.84,66.14,6.43,0.0,0.0,0.24,3.62,13.73,0.21,Oceania,0.0,0.01
ASM,ASM,2006,8.84,66.67,6.06,0.0,0.0,0.1,4.23,14.1,0.21,Oceania,0.0,0.01
ASM,ASM,2007,8.66,66.54,5.57,0.0,0.0,0.0,4.84,14.39,0.21,Oceania,0.0,0.01
ASM,ASM,2008,8.21,66.35,5.62,0.0,0.0,0.0,5.14,14.68,0.22,Oceania,0.0,0.01
ASM,ASM,2009,7.56,66.25,5.07,0.0,0.0,0.0,6.0,15.12,0.22,Oceania,0.0,0.01
ASM,ASM,2010,6.91,66.32,4.78,0.0,0.09,0.0,6.84,15.06,0.23,Oceania,0.0,0.01
ASM,ASM,2011,6.54,65.72,4.8,0.0,0.0,0.0,7.17,15.77,0.23,Oceania,0.01,0.01
ASM,ASM,2012,5.91,65.85,4.13,0.0,0.0,0.45,7.75,15.91,0.24,Oceania,0.02,0.01
ASM,ASM,2013,5.34,65.77,3.83,0.0,0.09,0.09,8.33,16.55,0.24,Oceania,0.03,0.01
ASM,ASM,2014,5.34,65.57,3.41,0.0,0.24,0.0,8.8,16.64,0.25,Oceania,0.04,0.01
ASM,ASM,2015,4.61,65.78,3.15,0.0,0.06,0.0,9.29,17.11,0.25,Oceania,0.05,0.01
ASM,ASM,2016,3.95,65.62,2.46,0.0,0.06,0.57,9.94,17.4,0.25,Oceania,0.07,0.01
ASM,ASM,2017,3.85,65.15,2.43,0.0,0.14,0.0,10.85,17.58,0.26,Oceania,0.09,0.02
ASM,ASM,2018,2.82,65.27,2.2,0.0,0.24,0.1,11.21,18.16,0.27,Oceania,0.12,0.02
ASM,ASM,2019,2.68,65.52,1.69,0.0,0.06,0.06,11.93,18.06,0.27,Oceania,0.16,0.02
ASM,ASM,2020,1.85,65.58,1.29,0.0,0.0,0.0,12.75,18.53,0.28,Oceania,0.21,0.02
ASM,ASM,2021,1.71,64.8,1.39,0.0,0.05,0.0,13.1,18.95,0.28,Oceania,0.29,0.02
ASM,ASM,2022,0.7,65.47,0.64,0.0,0.04,0.0,13.74,19.41,0.29,Oceania,0.39,0.02
ASM,ASM,2023,0.57,65.08,0.36,0.0,0.0,0.08,14.18,19.73,0.29,Oceania,0.53,0.02
ASM,ASM,2024,0.0,64.84,0.03,0.0,0.1,0.0,14.8,20.23,0.3,Oceania,0.74,0.02
ATG,ATG,2000,14.92,61.91,10.59,0.0,0.41,0.57,0.93,10.67,0.14,North America,0.0,0.01
ATG,ATG,2001,14.53,62.48,10.01,0.0,0.04,0.72,1.06,11.16,0.15,North America,0.0,0.01
ATG,ATG,2002,13.84,62.7,9.14,0.0,0.0,1.01,1.81,11.5,0.16,North America,0.0,0.01
ATG,ATG,2003,13.17,62.31,9.3,0.0,0.0,1.15,2.07,12.0,0.16,North America,0.0,0.02
ATG,ATG,2004,12.52,62.01,8.72,0.0,0.17,1.28,3.18,12.12,0.17,North America,0.0,0.02
ATG,ATG,2005,12.11,61.77,8.01,0.0,0.0,1.08,4.24,12.79,0.18,North America,0.0,0.02
ATG,ATG,2006,11.51,62.19,7.44,0.0,0.4,1.68,4.27,12.51,0.19,North America,0.0,0.02
ATG,ATG,2007,10.71,61.44,7.21,0.0,0.04,1.84,5.11,13.65,0.19,North America,0.0,0.02
ATG,ATG,2008,9.57,62.24,6.76,0.0,0.13,1.74,5.5,14.06,0.2,North America,0.0,0.02
ATG,ATG,2009,9.38,62.0,6.67,0.0,0.0,1.86,6.05,14.04,0.21,North America,0.0,0.02
